price_date,open_price,high_price,low_price,close_price,vwap,volume,pct_change
2016-01-04,16.74,17.02,16.7,17.01,16.88,11990000,0.26
2016-01-05,17.17,17.45,17.12,17.41,17.34,13330000,2.38
2016-01-06,17.29,17.7,17.29,17.59,17.59,16559999,1.00
2016-01-07,17.43,18.05,17.41,18,17.9,26430000,2.33
2016-01-08,18.01,18.1,17.55,17.58,17.82,17770000,-2.29
2016-01-11,17.65,17.84,17.61,17.77,17.72,12650000,1.07
2016-01-12,17.82,17.91,17.55,17.61,17.67,12200000,-0.93
2016-01-13,17.64,17.64,17.11,17.14,17.26,13730000,-2.67
2016-01-14,17.16,17.61,17.11,17.45,17.38,12930000,1.84
2016-01-15,17.03,17.29,16.95,17.14,17.11,15170000,-1.79
2016-01-19,17.23,17.38,17.16,17.31,17.28,13050000,1.02
2016-01-20,17.1,17.25,16.66,16.84,16.86,17370000,-2.75
2016-01-21,16.88,17.38,16.86,17.12,17.15,12090000,1.71
2016-01-22,17.28,17.51,17.19,17.35,17.36,9200000,1.31
2016-01-25,17.37,17.66,17.31,17.56,17.56,12820000,1.21
2016-01-26,17.53,17.84,17.51,17.71,17.72,9440000,0.87
2016-01-27,17.74,18.04,17.68,17.7,17.82,10210000,-0.08
2016-01-28,17.72,17.85,17.55,17.77,17.73,11280000,0.42
2016-01-29,17.92,18.41,17.92,18.36,18.21,16440000,3.33
2016-02-01,18.24,18.8,18.23,18.68,18.62,14730000,1.72
2016-02-02,18.62,18.77,18.34,18.5,18.5,13590000,-0.95
2016-02-03,18.63,18.68,18.01,18.34,18.34,12320000,-0.88
2016-02-04,18.2,18.42,17.99,18.38,18.22,12830000,0.23
2016-02-05,18.5,18.69,18.23,18.54,18.5,14200000,0.87
2016-02-08,18.4,18.58,18.03,18.51,18.33,20740000,-0.15
2016-02-09,18.12,18.38,17.9,18.21,18.15,14640000,-1.63
2016-02-10,18.32,18.43,18.17,18.21,18.34,9710000,-0.03
2016-02-11,17.99,18.2,17.93,18.08,18.04,11190000,-0.71
2016-02-12,18.13,18.33,17.95,18.31,18.23,9700000,1.32
2016-02-16,18.43,18.49,18.13,18.24,18.25,11360000,-0.42
2016-02-17,18.29,18.43,18.21,18.3,18.33,12430000,0.32
2016-02-18,17.64,17.93,17.25,17.74,17.59,27890000,-3.01
2016-02-19,17.68,17.92,17.56,17.89,17.81,15560000,0.84
2016-02-22,17.98,18.3,17.98,18.16,18.17,10590000,1.50
